Address,Type,Datetime,Latitude,Longitude
4th Av / Pine St,Aid Response,05/11/2016 07:25:00 PM +0000,47.611207,-122.337592
2121 26th Av S,Rescue Elevator,05/11/2016 09:19:00 PM +0000,47.584234,-122.299024
1111 E Columbia St,Aid Response,05/11/2016 10:50:00 PM +0000,47.609227,-122.31678
713 23rd Av,Aid Response,05/11/2016 11:08:00 PM +0000,47.608133,-122.302769
1828 Yale Av,Aid Response,05/12/2016 01:45:00 AM +0000,47.617717,-122.330057
13616 3rd Av Ne,Aid Response,05/12/2016 02:08:00 AM +0000,47.727659,-122.326518
1417 Belmont Av,Aid Response,05/12/2016 03:17:00 AM +0000,47.613168,-122.324446
1530 Eastlake Av E,Aid Response,05/11/2016 05:13:00 PM +0000,47.63273,-122.325928
330 19th Av E,Aid Response,05/11/2016 07:33:00 PM +0000,47.620954,-122.307342
3613 4th Av S,Aid Response,05/11/2016 07:50:00 PM +0000,47.570724,-122.329062
3802 S Othello St,Aid Response,05/11/2016 07:52:00 PM +0000,47.537035,-122.28468
1600 S Lane St,Aid Response,05/11/2016 08:29:00 PM +0000,47.59665,-122.311586
6400 Sylvan Way Sw,Aid Response,05/11/2016 09:36:00 PM +0000,47.544653,-122.372534
6th Av S / S Lane St,Aid Response,05/11/2016 11:07:00 PM +0000,47.596676,-122.32637
6220 32nd Av Ne,Auto Fire Alarm,05/11/2016 11:15:00 PM +0000,47.674094,-122.293258
5300 24th Av Ne,Aid Response,05/11/2016 11:39:00 PM +0000,47.66707,-122.301946
Nw 95th St / 8th Av Nw,MVI - Motor Vehicle Incident,05/12/2016 12:05:00 AM +0000,47.697865,-122.366035
SB I5 AT SHIP CANAL BRIDGE,MVI Freeway,05/12/2016 12:50:00 AM +0000,47.646334,-122.322987
Westlake Av / 6th Av,Aid Response,05/12/2016 01:12:00 AM +0000,47.613947,-122.337563
101 Ne 50th St,MVI - Motor Vehicle Incident,05/12/2016 01:15:00 AM +0000,47.665003,-122.328251
2221 Nw Market St,Aid Response,05/12/2016 02:02:00 AM +0000,47.668678,-122.385077
3790 Okanogan Ln Ne,Aid Response,05/12/2016 02:44:00 AM +0000,47.653049,-122.309076
2100 Queen Anne Av N,Aid Response,05/12/2016 03:21:00 AM +0000,47.63717,-122.356941
9430 30th Av Sw,Auto Fire Alarm,05/12/2016 04:30:00 AM +0000,47.517943,-122.371386
2709 Ne 145th St,Medic Response,05/12/2016 04:39:00 AM +0000,47.733807,-122.299105
11038 35th Av Ne,Aid Response,05/11/2016 08:44:00 PM +0000,47.708596,-122.290755
